OLID,type,location
OL985930A,{'key': '/type/author'},
OL715595A,{'key': '/type/author'},
OL88154A,{'key': '/type/author'},
OL957281A,{'key': '/type/author'},"Watertown, South Dakota"
OL916544A,{'key': '/type/author'},"Rio de Janeiro (Brazil) and Miami (Florida, USA("
OL745437A,{'key': '/type/author'},"New York City, NY"
OL86573A,{'key': '/type/author'},
OL929030A,{'key': '/type/author'},
OL964972A,{'key': '/type/author'},
OL82568A,{'key': '/type/author'},
OL7176585A,{'key': '/type/redirect'},/authors/OL119690A
OL96979A,{'key': '/type/author'},
OL80172A,{'key': '/type/author'},
OL80396A,{'key': '/type/author'},D-10117 Berlin Germany
OL980093A,{'key': '/type/author'},
OL990802A,{'key': '/type/author'},
OL849503A,{'key': '/type/author'},"England, UK"
OL73193A,{'key': '/type/author'},
OL91522A,{'key': '/type/author'},"Paris, France"
OL785143A,{'key': '/type/author'},Germany
OL983786A,{'key': '/type/author'},
OL76437A,{'key': '/type/author'},
OL79039A,{'key': '/type/author'},
OL874506A,{'key': '/type/author'},
OL736164A,{'key': '/type/author'},
OL83579A,{'key': '/type/author'},
OL740723A,{'key': '/type/author'},
OL77056A,{'key': '/type/author'},
OL798548A,{'key': '/type/author'},
OL736249A,{'key': '/type/author'},
OL901092A,{'key': '/type/author'},
OL897417A,{'key': '/type/author'},
OL89989A,{'key': '/type/author'},
OL916626A,{'key': '/type/author'},
OL928958A,{'key': '/type/author'},
OL910232A,{'key': '/type/author'},
OL96979A,{'key': '/type/author'},
OL980093A,{'key': '/type/author'},
OL990802A,{'key': '/type/author'},
OL91522A,{'key': '/type/author'},"Paris, France"
OL983786A,{'key': '/type/author'},
OL916626A,{'key': '/type/author'},
OL928958A,{'key': '/type/author'},
OL933874A,{'key': '/type/author'},
OL95189A,{'key': '/type/author'},"Swakopmund, Namibia"
OL976308A,{'key': '/type/author'},
OL9491A,{'key': '/type/author'},
OL96536A,{'key': '/type/author'},
OL9388A,{'key': '/type/author'},
OL916454A,{'key': '/type/author'},"Glastonbury, Somerset, England"
OL9526A,{'key': '/type/author'},
OL956671A,{'key': '/type/author'},
OL954314A,{'key': '/type/author'},
OL961225A,{'key': '/type/author'},
OL9348793A,{'key': '/type/author'},
OL995700A,{'key': '/type/author'},
OL961076A,{'key': '/type/author'},
OL966838A,{'key': '/type/author'},
OL975486A,{'key': '/type/author'},queli importa
OL934033A,{'key': '/type/author'},
OL994225A,{'key': '/type/author'},
OL91430A,{'key': '/type/author'},
OL954189A,{'key': '/type/author'},
OL973667A,{'key': '/type/author'},
OL927849A,{'key': '/type/author'},
OL933394A,{'key': '/type/author'},México
OL922891A,{'key': '/type/author'},
OL922677A,{'key': '/type/author'},
OL985930A,{'key': '/type/author'},
OL957281A,{'key': '/type/author'},"Watertown, South Dakota"
OL916544A,{'key': '/type/author'},"Rio de Janeiro (Brazil) and Miami (Florida, USA("
OL929030A,{'key': '/type/author'},
OL964972A,{'key': '/type/author'},
OL96979A,{'key': '/type/author'},
OL980093A,{'key': '/type/author'},
OL990802A,{'key': '/type/author'},
OL983786A,{'key': '/type/author'},
OL976308A,{'key': '/type/author'},
OL96536A,{'key': '/type/author'},
OL995700A,{'key': '/type/author'},
OL966838A,{'key': '/type/author'},
OL975486A,{'key': '/type/author'},queli importa
OL994225A,{'key': '/type/author'},
OL973667A,{'key': '/type/author'},
OL985930A,{'key': '/type/author'},
OL990802A,{'key': '/type/author'},
OL995700A,{'key': '/type/author'},
OL994225A,{'key': '/type/author'},
OL995700A,{'key': '/type/author'},
OL1052887A,{'key': '/type/author'},
OL1386169A,{'key': '/type/author'},CRICQUEVILLE NORMANDIE
OL1965389A,{'key': '/type/author'},
OL24950A,{'key': '/type/author'},
OL27695A,{'key': '/type/author'},
OL113768A,{'key': '/type/author'},
OL218549A,{'key': '/type/author'},
OL249668A,{'key': '/type/author'},
OL3039613A,{'key': '/type/author'},Philadelphia
OL152844A,{'key': '/type/author'},
OL156271A,{'key': '/type/author'},
OL19786A,{'key': '/type/author'},"Newark, New Jersey"
OL2241772A,{'key': '/type/author'},
OL22973A,{'key': '/type/author'},
OL25086A,{'key': '/type/author'},
OL3174201A,{'key': '/type/author'},Stuttgart
OL11697A,{'key': '/type/author'},"Aligarh, UP"
OL154921A,{'key': '/type/author'},
OL1980573A,{'key': '/type/author'},
OL22256A,{'key': '/type/author'},
OL307561A,{'key': '/type/author'},
OL183794A,{'key': '/type/author'},
OL1942446A,{'key': '/type/author'},
OL1049978A,{'key': '/type/author'},
OL194979A,{'key': '/type/author'},
OL198494A,{'key': '/type/author'},
OL2393213A,{'key': '/type/author'},
OL2570949A,{'key': '/type/author'},
OL26769A,{'key': '/type/author'},
OL2701649A,{'key': '/type/author'},"Hillsdale, MI"
OL274130A,{'key': '/type/author'},
OL122409A,{'key': '/type/author'},yuk
OL155274A,{'key': '/type/author'},
OL1619744A,{'key': '/type/author'},
OL2011206A,{'key': '/type/author'},
OL2374400A,{'key': '/type/author'},
OL106376A,{'key': '/type/author'},
OL256084A,{'key': '/type/author'},
OL1501363A,{'key': '/type/author'},
OL2023514A,{'key': '/type/author'},
OL3112958A,{'key': '/type/author'},"London, UK"
OL2321919A,{'key': '/type/author'},
OL2387724A,{'key': '/type/author'},
OL3175986A,{'key': '/type/author'},
OL1296800A,{'key': '/type/author'},"New York City, NY"
OL199670A,{'key': '/type/author'},
OL2162648A,{'key': '/type/author'},
OL1394682A,{'key': '/type/author'},
OL1491464A,{'key': '/type/author'},
OL133274A,{'key': '/type/author'},
OL1394986A,{'key': '/type/author'},"Toronto, Ontario, Canada"
OL1648450A,{'key': '/type/author'},
OL19464A,{'key': '/type/author'},"Murrells Inlet, SC"
OL2410387A,{'key': '/type/author'},
OL1163003A,{'key': '/type/author'},
OL2763A,{'key': '/type/author'},
OL1087055A,{'key': '/type/redirect'},/authors/OL21218A
OL130931A,{'key': '/type/author'},
OL1633244A,{'key': '/type/author'},
OL1907605A,{'key': '/type/author'},"Belgrade, Serbia"
OL223298A,{'key': '/type/author'},
OL2447112A,{'key': '/type/author'},
OL18121A,{'key': '/type/author'},
OL1984754A,{'key': '/type/author'},
OL1358379A,{'key': '/type/author'},
OL1652448A,{'key': '/type/author'},
OL1681959A,{'key': '/type/author'},
OL188777A,{'key': '/type/author'},
OL189727A,{'key': '/type/author'},
OL22242A,{'key': '/type/author'},
OL227499A,{'key': '/type/author'},
OL2872752A,{'key': '/type/redirect'},/authors/OL2872748A
OL2994495A,{'key': '/type/author'},"Spring Creek, NV"
OL102973A,{'key': '/type/author'},www.riocl.dev4india.org
OL1053674A,{'key': '/type/author'},
OL1227689A,{'key': '/type/author'},
OL2829734A,{'key': '/type/author'},
OL1057776A,{'key': '/type/author'},
OL1095582A,{'key': '/type/author'},
OL128249A,{'key': '/type/author'},
OL2239140A,{'key': '/type/author'},
OL2473425A,{'key': '/type/author'},
OL2719321A,{'key': '/type/author'},
OL1385025A,{'key': '/type/author'},
OL202478A,{'key': '/type/author'},
OL245290A,{'key': '/type/author'},
OL311675A,{'key': '/type/author'},
OL1418317A,{'key': '/type/author'},
OL259734A,{'key': '/type/author'},
OL317242A,{'key': '/type/author'},
OL11149A,{'key': '/type/author'},
OL1503052A,{'key': '/type/author'},Bonn
OL20922A,{'key': '/type/author'},
OL2405969A,{'key': '/type/author'},
OL25931A,{'key': '/type/author'},Copenhagen
OL2821060A,{'key': '/type/author'},
OL2488635A,{'key': '/type/author'},
OL3134076A,{'key': '/type/author'},South Carolina
OL1802113A,{'key': '/type/author'},
OL1752274A,{'key': '/type/redirect'},/authors/OL1292951A
OL221644A,{'key': '/type/author'},
OL235485A,{'key': '/type/author'},
OL2528631A,{'key': '/type/author'},
OL123129A,{'key': '/type/author'},
OL20086A,{'key': '/type/author'},
OL23364A,{'key': '/type/author'},"Palatine, Illinois"
OL24184A,{'key': '/type/author'},
OL290325A,{'key': '/type/author'},
OL205356A,{'key': '/type/author'},
OL221461A,{'key': '/type/author'},
OL2628836A,{'key': '/type/author'},"Eugene, Oregon"
OL290775A,{'key': '/type/author'},
OL126253A,{'key': '/type/author'},
OL155003A,{'key': '/type/author'},
OL18895A,{'key': '/type/author'},
OL2228356A,{'key': '/type/author'},
OL1614273A,{'key': '/type/author'},"Merida, Venezuela"
OL1720474A,{'key': '/type/author'},Weidenhausen
OL223133A,{'key': '/type/author'},
OL2384791A,{'key': '/type/author'},
OL28743A,{'key': '/type/author'},
OL3112869A,{'key': '/type/author'},
OL4061556A,{'key': '/type/author'},
OL1074736A,{'key': '/type/author'},"Kennydale, Washington"
OL1539542A,{'key': '/type/author'},
OL2201793A,{'key': '/type/author'},
OL23251A,{'key': '/type/author'},
OL455684A,{'key': '/type/author'},
OL1590665A,{'key': '/type/author'},
OL1761372A,{'key': '/type/author'},
OL242646A,{'key': '/type/author'},"Hunterdon County, NJ"
OL293029A,{'key': '/type/author'},
OL3185225A,{'key': '/type/author'},
OL32568A,{'key': '/type/author'},
OL432375A,{'key': '/type/author'},
OL46033A,{'key': '/type/author'},
OL133235A,{'key': '/type/author'},
OL4495048A,{'key': '/type/author'},
OL135291A,{'key': '/type/author'},
OL18750A,{'key': '/type/author'},"Pasadena, CA"
OL3085577A,{'key': '/type/author'},
OL471650A,{'key': '/type/author'},
OL4786767A,{'key': '/type/author'},
OL129262A,{'key': '/type/author'},
OL1936383A,{'key': '/type/author'},
OL2137377A,{'key': '/type/author'},
OL2557333A,{'key': '/type/author'},
OL2764001A,{'key': '/type/author'},
OL3590680A,{'key': '/type/redirect'},/authors/OL3590679A
OL4759388A,{'key': '/type/author'},UK
OL1034838A,{'key': '/type/author'},kogi state
OL154572A,{'key': '/type/author'},
OL1673740A,{'key': '/type/author'},
OL23919A,{'key': '/type/author'},
OL3169281A,{'key': '/type/author'},
OL385916A,{'key': '/type/author'},
OL484370A,{'key': '/type/author'},
OL1230986A,{'key': '/type/author'},
OL1130697A,{'key': '/type/author'},
OL349156A,{'key': '/type/author'},
OL4950433A,{'key': '/type/author'},
OL153373A,{'key': '/type/author'},
OL228405A,{'key': '/type/author'},"Belgrade, Serbia"
OL33841A,{'key': '/type/author'},
OL495636A,{'key': '/type/author'},
OL140700A,{'key': '/type/author'},
OL321671A,{'key': '/type/author'},
OL374391A,{'key': '/type/author'},
OL3823734A,{'key': '/type/author'},
OL388011A,{'key': '/type/author'},
OL129571A,{'key': '/type/author'},
OL132915A,{'key': '/type/author'},
OL1354006A,{'key': '/type/author'},"Pennsylvania, Bethel Pa"
OL2356136A,{'key': '/type/author'},Den Haag
OL2660318A,{'key': '/type/author'},
OL462398A,{'key': '/type/author'},"Portland, Oregon, USA"
OL357735A,{'key': '/type/author'},
OL4587302A,{'key': '/type/author'},
OL5119952A,{'key': '/type/author'},
OL2622088A,{'key': '/type/author'},
OL3789715A,{'key': '/type/redirect'},/authors/OL2997251A
OL477423A,{'key': '/type/author'},
OL113385A,{'key': '/type/author'},
OL192953A,{'key': '/type/author'},
OL200394A,{'key': '/type/author'},"Los Angeles, CA"
OL2314403A,{'key': '/type/author'},
OL2984214A,{'key': '/type/author'},"Longwood, FLorida"
OL340487A,{'key': '/type/author'},
OL1841A,{'key': '/type/author'},
OL2673831A,{'key': '/type/author'},
OL4728806A,{'key': '/type/author'},UK
OL1719861A,{'key': '/type/author'},
OL2199815A,{'key': '/type/author'},"Guatemala, de la Asunción."
OL105936A,{'key': '/type/author'},
OL1370956A,{'key': '/type/author'},
OL1933244A,{'key': '/type/author'},
OL2265561A,{'key': '/type/author'},
OL2334834A,{'key': '/type/author'},Weimar Thüringen Deutschland
OL3612445A,{'key': '/type/author'},Curacao Netherlands Antilles
OL3748819A,{'key': '/type/author'},
OL4666181A,{'key': '/type/author'},
OL104006A,{'key': '/type/author'},
OL1043768A,{'key': '/type/author'},
OL1446318A,{'key': '/type/author'},
OL1587767A,{'key': '/type/author'},
OL1689645A,{'key': '/type/author'},
OL1991991A,{'key': '/type/author'},
OL172188A,{'key': '/type/author'},
OL1788302A,{'key': '/type/author'},
OL2348970A,{'key': '/type/author'},
OL2854405A,{'key': '/type/author'},
OL435460A,{'key': '/type/author'},"Xalapa, Veracruz, México."
OL4814418A,{'key': '/type/author'},
OL4838593A,{'key': '/type/redirect'},/authors/OL959341A
OL5179274A,{'key': '/type/redirect'},/authors/OL1162102A
OL1578557A,{'key': '/type/author'},Shkup
OL1979802A,{'key': '/type/author'},
OL288396A,{'key': '/type/author'},
OL3115201A,{'key': '/type/author'},
OL1637A,{'key': '/type/author'},
OL1823450A,{'key': '/type/author'},
OL18295A,{'key': '/type/author'},
OL2180760A,{'key': '/type/author'},"Santa Barbara, CA"
OL253227A,{'key': '/type/author'},
OL2631684A,{'key': '/type/author'},USA/indian/china town baby
OL106604A,{'key': '/type/author'},
OL117298A,{'key': '/type/author'},"Basel, Switzerland"
OL123122A,{'key': '/type/author'},
OL1878216A,{'key': '/type/author'},
OL21256A,{'key': '/type/author'},
OL3869150A,{'key': '/type/author'},
OL41785A,{'key': '/type/author'},
OL4471176A,{'key': '/type/author'},
OL154877A,{'key': '/type/author'},
OL165064A,{'key': '/type/author'},
OL2726384A,{'key': '/type/author'},
OL3236098A,{'key': '/type/redirect'},/authors/OL2686786A
OL402789A,{'key': '/type/author'},Shepparton
OL522192A,{'key': '/type/author'},
OL1120045A,{'key': '/type/author'},
OL1443637A,{'key': '/type/author'},
OL220265A,{'key': '/type/author'},
OL22161A,{'key': '/type/author'},"Providence (Rhode Island, USA)"
OL4113517A,{'key': '/type/author'},
OL1050930A,{'key': '/type/author'},"Madrid, Spain"
OL1399232A,{'key': '/type/author'},"Kikinda, Serbia"
OL1802206A,{'key': '/type/author'},
OL27951A,{'key': '/type/author'},
OL486967A,{'key': '/type/author'},
OL116161A,{'key': '/type/author'},
OL12823A,{'key': '/type/author'},
OL1696049A,{'key': '/type/author'},
OL24103A,{'key': '/type/author'},"Biscayne Park, FL"
OL2516143A,{'key': '/type/author'},
OL281445A,{'key': '/type/author'},
OL4451022A,{'key': '/type/author'},
OL1092179A,{'key': '/type/author'},
OL1550974A,{'key': '/type/author'},"Wilmington, Vermont"
OL1760305A,{'key': '/type/author'},
OL2101042A,{'key': '/type/author'},
OL240991A,{'key': '/type/author'},
OL5080659A,{'key': '/type/author'},UK
OL1446330A,{'key': '/type/author'},
OL160165A,{'key': '/type/author'},
OL247309A,{'key': '/type/author'},"Haddonfield, NJ"
OL398533A,{'key': '/type/author'},"South Hadley, Massachusetts, USA"
OL1434967A,{'key': '/type/author'},
OL2544127A,{'key': '/type/author'},
OL3783475A,{'key': '/type/author'},me no know
OL4236065A,{'key': '/type/author'},
OL30113A,{'key': '/type/author'},
OL30490A,{'key': '/type/author'},
OL3384992A,{'key': '/type/author'},
OL344218A,{'key': '/type/author'},
OL50873A,{'key': '/type/author'},
OL1053500A,{'key': '/type/author'},
OL211081A,{'key': '/type/author'},Jalan Pasifik Indah II 27 Tanjung Ria Base-G Pasir Dua Jayapura Utara Irian Jaya (Papua) 99117
OL3741736A,{'key': '/type/redirect'},/authors/OL3741735A
OL4821915A,{'key': '/type/author'},
OL5158876A,{'key': '/type/author'},
OL1061400A,{'key': '/type/author'},
OL22022A,{'key': '/type/author'},
OL113810A,{'key': '/type/author'},
OL2795107A,{'key': '/type/redirect'},/authors/OL92071A
OL31727A,{'key': '/type/author'},
OL34221A,{'key': '/type/author'},
OL41560A,{'key': '/type/author'},
OL4188727A,{'key': '/type/author'},
OL4754341A,{'key': '/type/redirect'},/authors/OL3321665A
OL128320A,{'key': '/type/author'},
OL130940A,{'key': '/type/author'},
OL1836880A,{'key': '/type/author'},
OL356589A,{'key': '/type/author'},
OL134960A,{'key': '/type/author'},
OL1549567A,{'key': '/type/author'},
OL160777A,{'key': '/type/author'},"Amherst, Massachusetts"
OL2349539A,{'key': '/type/author'},
OL377314A,{'key': '/type/author'},
OL4416743A,{'key': '/type/author'},Paddhari - Gujarat - India
OL1055928A,{'key': '/type/author'},
OL143476A,{'key': '/type/author'},
OL2674893A,{'key': '/type/author'},
OL293781A,{'key': '/type/author'},
OL3771030A,{'key': '/type/author'},"Philadelphia, Pennsylvania"
OL502300A,{'key': '/type/author'},
OL162260A,{'key': '/type/author'},
OL165705A,{'key': '/type/author'},
OL227751A,{'key': '/type/author'},"Georgia, U.S.A."
OL1867343A,{'key': '/type/author'},
OL314543A,{'key': '/type/author'},
OL417445A,{'key': '/type/author'},
OL1294664A,{'key': '/type/author'},"Lanreath, Cornwall, UK"
OL1373544A,{'key': '/type/author'},
OL1436430A,{'key': '/type/author'},
OL15521A,{'key': '/type/author'},
OL236174A,{'key': '/type/author'},
OL3588143A,{'key': '/type/author'},Florida
OL4288141A,{'key': '/type/author'},
OL1061173A,{'key': '/type/author'},
OL207696A,{'key': '/type/author'},
OL162052A,{'key': '/type/author'},
OL231873A,{'key': '/type/author'},
OL2562363A,{'key': '/type/author'},
OL26681A,{'key': '/type/author'},
OL1084433A,{'key': '/type/author'},Den Haag
OL1414432A,{'key': '/type/author'},
OL2390624A,{'key': '/type/author'},"Aberdeen, Scotland; Llanelli, Wales; Cardiff, Wales."
OL2633288A,{'key': '/type/author'},
OL454519A,{'key': '/type/author'},
OL2335857A,{'key': '/type/author'},
OL280947A,{'key': '/type/author'},
OL292934A,{'key': '/type/author'},
OL372832A,{'key': '/type/author'},"Gilbert, AZ"
OL1006546A,{'key': '/type/author'},Florida and the Philippines
OL3009784A,{'key': '/type/author'},
OL356135A,{'key': '/type/author'},
OL3767425A,{'key': '/type/author'},"Little Rock, Arkansas"
OL502053A,{'key': '/type/author'},
OL3256040A,{'key': '/type/author'},"Worcester, England"
OL1163700A,{'key': '/type/author'},
OL135471A,{'key': '/type/author'},
OL1622153A,{'key': '/type/author'},
OL2518871A,{'key': '/type/author'},
OL25895A,{'key': '/type/author'},Cape Cod
OL3131674A,{'key': '/type/author'},"Cape Cod, Ma."
OL3184690A,{'key': '/type/author'},
OL4064396A,{'key': '/type/author'},
OL4484042A,{'key': '/type/author'},
OL1064101A,{'key': '/type/author'},
OL120933A,{'key': '/type/author'},
OL122017A,{'key': '/type/author'},
OL1458530A,{'key': '/type/author'},
OL1696429A,{'key': '/type/author'},
OL23178A,{'key': '/type/author'},
OL2599210A,{'key': '/type/author'},
OL2239761A,{'key': '/type/author'},
OL3216283A,{'key': '/type/author'},
OL108070A,{'key': '/type/author'},
OL237227A,{'key': '/type/author'},"Miami, FL"
OL340770A,{'key': '/type/author'},
OL2160688A,{'key': '/type/author'},
OL2627552A,{'key': '/type/author'},
OL2775158A,{'key': '/type/author'},
OL478722A,{'key': '/type/author'},
OL1316741A,{'key': '/type/author'},braga
OL160588A,{'key': '/type/author'},
OL22358A,{'key': '/type/author'},
OL233017A,{'key': '/type/author'},
OL154978A,{'key': '/type/author'},
OL1840652A,{'key': '/type/author'},Bucureşti
OL244612A,{'key': '/type/author'},
OL35039A,{'key': '/type/author'},"Gstaad, Switzerland"
OL39937A,{'key': '/type/author'},"Dunsany Castle, Meath County, Ireland"
OL414960A,{'key': '/type/author'},
OL4329846A,{'key': '/type/author'},"Hermanus, South Africa"
OL11428A,{'key': '/type/author'},
OL120597A,{'key': '/type/author'},
OL155060A,{'key': '/type/author'},
OL238932A,{'key': '/type/author'},
OL4903934A,{'key': '/type/author'},Denmark
OL1411156A,{'key': '/type/author'},Toronto
OL2513180A,{'key': '/type/author'},
OL39120A,{'key': '/type/author'},
OL396053A,{'key': '/type/author'},
OL3190824A,{'key': '/type/author'},
OL3326541A,{'key': '/type/author'},"Narragansett, RI"
OL406304A,{'key': '/type/author'},"New York City, NY"
OL4820858A,{'key': '/type/author'},
OL5035985A,{'key': '/type/author'},
OL2395128A,{'key': '/type/author'},
OL5102692A,{'key': '/type/author'},
OL146171A,{'key': '/type/author'},
OL22060A,{'key': '/type/author'},
OL2332743A,{'key': '/type/author'},
OL2816273A,{'key': '/type/author'},"Toronto, Canada"
OL4927292A,{'key': '/type/author'},
OL1109827A,{'key': '/type/author'},
OL20735A,{'key': '/type/author'},
OL2404785A,{'key': '/type/author'},
OL3032832A,{'key': '/type/author'},
OL492408A,{'key': '/type/author'},la concha de tu hermana
OL188452A,{'key': '/type/author'},
OL2405972A,{'key': '/type/author'},
OL3868295A,{'key': '/type/author'},New York City
OL18181A,{'key': '/type/author'},
OL2000619A,{'key': '/type/author'},
OL2474878A,{'key': '/type/author'},
OL48230A,{'key': '/type/author'},
OL117105A,{'key': '/type/author'},
OL1542061A,{'key': '/type/author'},
OL2763989A,{'key': '/type/author'},
OL364467A,{'key': '/type/author'},
OL4826037A,{'key': '/type/redirect'},/authors/OL267581A
OL492204A,{'key': '/type/author'},
OL19767A,{'key': '/type/author'},
OL2072926A,{'key': '/type/author'},
OL360564A,{'key': '/type/author'},
OL3741820A,{'key': '/type/author'},
OL4678145A,{'key': '/type/author'},
OL4751964A,{'key': '/type/author'},
OL1791703A,{'key': '/type/author'},
OL21816A,{'key': '/type/author'},
OL254750A,{'key': '/type/author'},"Oshkosh, Wisconson"
OL265277A,{'key': '/type/author'},Toronto
OL1155860A,{'key': '/type/author'},
OL165553A,{'key': '/type/author'},
OL2075850A,{'key': '/type/author'},
OL2178820A,{'key': '/type/author'},
OL24708A,{'key': '/type/author'},"Los Angeles, CA"
OL2623461A,{'key': '/type/author'},
OL2779310A,{'key': '/type/author'},"Birmingham, England"
OL365301A,{'key': '/type/author'},
OL1034703A,{'key': '/type/author'},Rottenburg a. N.
OL1454319A,{'key': '/type/author'},
OL1638151A,{'key': '/type/author'},Poznań
OL25873A,{'key': '/type/author'},"Weston, Connecticut"
OL2686786A,{'key': '/type/author'},
OL333794A,{'key': '/type/author'},London
OL450897A,{'key': '/type/author'},
OL1457651A,{'key': '/type/author'},
OL161167A,{'key': '/type/author'},
OL19731A,{'key': '/type/author'},California
OL2003285A,{'key': '/type/author'},
OL2131592A,{'key': '/type/author'},
OL2728506A,{'key': '/type/author'},Jerusalem
OL3729211A,{'key': '/type/author'},
OL4476361A,{'key': '/type/author'},
OL1384765A,{'key': '/type/author'},
OL2779309A,{'key': '/type/author'},
OL29655A,{'key': '/type/author'},
OL4180090A,{'key': '/type/author'},
OL1861770A,{'key': '/type/author'},
OL187950A,{'key': '/type/author'},Brăila
OL20680A,{'key': '/type/author'},"New York, NY"
OL226688A,{'key': '/type/author'},U.S.A. (Louisiana)
OL2865796A,{'key': '/type/author'},
OL4459663A,{'key': '/type/author'},
OL4A,{'key': '/type/author'},
OL510191A,{'key': '/type/author'},
OL2239034A,{'key': '/type/author'},
OL3027981A,{'key': '/type/author'},
OL30350A,{'key': '/type/author'},
OL5249637A,{'key': '/type/author'},
OL1052550A,{'key': '/type/author'},
OL1072031A,{'key': '/type/author'},
OL1221698A,{'key': '/type/author'},Rio de Janeiro
OL129752A,{'key': '/type/author'},
OL2165883A,{'key': '/type/author'},"Lanreath, Cornwall, UK"
OL2307824A,{'key': '/type/author'},
OL2660325A,{'key': '/type/author'},
OL351778A,{'key': '/type/author'},
OL3684319A,{'key': '/type/author'},
OL4773008A,{'key': '/type/author'},UK
OL105537A,{'key': '/type/author'},"Orissa,India"
OL122041A,{'key': '/type/author'},
OL1940789A,{'key': '/type/author'},"Tel-Aviv, Israel"
OL2130642A,{'key': '/type/author'},
OL2274196A,{'key': '/type/author'},
OL2361123A,{'key': '/type/author'},
OL32604A,{'key': '/type/author'},
OL337845A,{'key': '/type/author'},
OL42043A,{'key': '/type/author'},
OL431005A,{'key': '/type/author'},
OL1684660A,{'key': '/type/author'},"Los Angeles, CA"
OL1776952A,{'key': '/type/author'},
OL27744A,{'key': '/type/author'},
OL4374973A,{'key': '/type/author'},
OL104097A,{'key': '/type/author'},
OL109954A,{'key': '/type/author'},
OL22013A,{'key': '/type/author'},
OL26783A,{'key': '/type/author'},
OL50596A,{'key': '/type/author'},
OL149206A,{'key': '/type/author'},
OL154974A,{'key': '/type/author'},
OL2659514A,{'key': '/type/author'},"London, England"
OL27173A,{'key': '/type/author'},
OL1076548A,{'key': '/type/author'},"New York City, NY"
OL1232339A,{'key': '/type/author'},
OL152794A,{'key': '/type/author'},
OL240763A,{'key': '/type/author'},
OL2460082A,{'key': '/type/author'},
OL26594A,{'key': '/type/author'},
OL3793466A,{'key': '/type/author'},
OL4181307A,{'key': '/type/author'},"Tel-Aviv, Israel"
OL45364A,{'key': '/type/author'},"Stocklholm, Sweden"
OL4760013A,{'key': '/type/author'},"Lanreath, Cornwall, UK"
OL5259555A,{'key': '/type/author'},Bikaner
OL1029344A,{'key': '/type/author'},
OL158908A,{'key': '/type/author'},
OL186598A,{'key': '/type/author'},
OL19277A,{'key': '/type/author'},"Norwalk, Connecticut"
OL2496683A,{'key': '/type/author'},Den Haag
OL33585A,{'key': '/type/author'},"Cap Ferrat, France"
OL450852A,{'key': '/type/author'},
OL123443A,{'key': '/type/author'},
OL134942A,{'key': '/type/author'},
OL155921A,{'key': '/type/author'},
OL1818502A,{'key': '/type/author'},Bucureşti
OL205683A,{'key': '/type/author'},Delhi
OL461275A,{'key': '/type/author'},
OL118077A,{'key': '/type/author'},
OL1874811A,{'key': '/type/author'},
OL2387219A,{'key': '/type/author'},
OL34434A,{'key': '/type/author'},"Oxford, England"
OL477484A,{'key': '/type/author'},
OL4974658A,{'key': '/type/author'},
OL5439347A,{'key': '/type/author'},Iasi
OL6175477A,{'key': '/type/redirect'},/authors/OL808651A
OL123692A,{'key': '/type/author'},"Paris, France"
OL256439A,{'key': '/type/author'},
OL3701308A,{'key': '/type/author'},
OL4696140A,{'key': '/type/author'},
OL635457A,{'key': '/type/author'},"New South Wales, Australia"
OL6531836A,{'key': '/type/author'},
OL116699A,{'key': '/type/author'},
OL138994A,{'key': '/type/author'},
OL269562A,{'key': '/type/author'},
OL3627654A,{'key': '/type/author'},
OL1414326A,{'key': '/type/author'},
OL1487450A,{'key': '/type/author'},"Kathmandu, Nepal"
OL166650A,{'key': '/type/author'},
OL19905A,{'key': '/type/author'},"Inverness, FL"
OL2782024A,{'key': '/type/author'},
OL3154806A,{'key': '/type/author'},
OL620622A,{'key': '/type/author'},
OL1000823A,{'key': '/type/author'},
OL224691A,{'key': '/type/author'},
OL40553A,{'key': '/type/author'},
OL461516A,{'key': '/type/author'},
OL581426A,{'key': '/type/author'},
OL6265958A,{'key': '/type/author'},
OL6373513A,{'key': '/type/redirect'},/authors/OL726806A
OL1118497A,{'key': '/type/author'},
OL1172897A,{'key': '/type/author'},
OL155169A,{'key': '/type/author'},France
OL24105A,{'key': '/type/author'},
OL2414180A,{'key': '/type/author'},
OL2514339A,{'key': '/type/author'},
OL4281069A,{'key': '/type/author'},
OL550058A,{'key': '/type/author'},
OL13694A,{'key': '/type/author'},
OL2668A,{'key': '/type/author'},
OL34163A,{'key': '/type/author'},
OL5272739A,{'key': '/type/author'},
OL592950A,{'key': '/type/author'},"Gainesville, Florida"
OL2312090A,{'key': '/type/author'},
OL2982185A,{'key': '/type/author'},
OL13193A,{'key': '/type/author'},
OL151749A,{'key': '/type/author'},
OL18065A,{'key': '/type/author'},
OL6490561A,{'key': '/type/redirect'},/authors/OL2775158A
OL131222A,{'key': '/type/author'},
OL1726719A,{'key': '/type/author'},
OL2311053A,{'key': '/type/author'},
OL2437111A,{'key': '/type/author'},
OL31800A,{'key': '/type/author'},
OL642417A,{'key': '/type/author'},
OL134325A,{'key': '/type/author'},
OL216799A,{'key': '/type/author'},
OL26868A,{'key': '/type/author'},
OL2943947A,{'key': '/type/author'},
OL3037149A,{'key': '/type/author'},
OL4038429A,{'key': '/type/author'},
OL1107409A,{'key': '/type/author'},
OL26134A,{'key': '/type/author'},New Jersey
OL2741514A,{'key': '/type/author'},
